# Class red_S0 blue_S0 green_S0 nir_wide_S0 nir_S0 swir_1_S0 swir_2_S0 red_edge_1_S0 red_edge_2_S0 red_edge_3_S0 EVI_S0 edev_S0 sdev_S0 bcdev_S0 NDVI_S0 LAI_S0 MNDWI_S0 evi_10_S0 evi_50_S0 evi_90_S0 evi_range_S0 evi_std_S0 rainclim_min_S0 rainclim_mean_S0 rainclim_max_S0 rainclim_range_S0 rainclim_std_S0 f_mean_n1_S0 f_mean_n2_S0 f_mean_n3_S0 f_std_n1_S0 f_std_n2_S0 f_std_n3_S0 f_median_n1_S0 f_median_n2_S0 f_median_n3_S0 abs_change_S0 mean_change_S0 median_change_S0 discordance_S0 complexity_S0 central_diff_S0 slope mrvbf mrrtf
1.000000 0.032422 0.028596 0.065570 0.406408 0.422323 0.191241 0.089304 0.117615 0.325663 0.394502 0.695070 2.539906 7.503115 3.301553 0.857406 2.396764 -0.489351 0.594184 0.694601 0.780701 0.186517 0.093540 71.087456 141.022110 260.323883 189.236420 51.906567 1.269867 0.834642 0.717367 0.526951 0.226201 0.084073 1.529756 0.720933 0.683409 0.054192 0.000677 0.000000 0.039772 76.123260 0.000414 6.373775 1.000000 0.000000
1.000000 0.042679 0.034012 0.069430 0.367936 0.385073 0.202227 0.103060 0.125240 0.305827 0.358416 0.627356 2.614796 7.187262 3.300113 0.805531 2.151774 -0.488842 0.530667 0.628053 0.695764 0.165097 0.088844 77.343330 134.299942 262.149567 184.806244 58.433331 0.846724 0.765856 0.837940 0.431634 0.431203 0.393008 1.018658 0.377404 0.646598 0.064108 -0.000374 0.000000 0.004492 102.087776 0.000006 1.863390 0.000000 3.000000
1.000000 0.078432 0.054595 0.083607 0.254568 0.268059 0.261072 0.168268 0.128699 0.217539 0.244453 0.356660 1.644830 3.645808 2.138283 0.553473 1.172395 -0.512044 0.153544 0.358297 0.588393 0.446329 0.167520 67.315750 115.090172 211.505417 144.189667 39.284573 2.927170 0.911514 0.484087 1.954667 0.591978 0.193030 2.265746 0.658339 0.510707 0.041107 -0.003481 0.000000 -0.007294 9.514781 0.000156 1.317616 6.000000 5.000000
1.000000 0.038261 0.030595 0.065815 0.359704 0.376533 0.200880 0.101579 0.118214 0.296283 0.349925 0.614336 2.611111 6.808415 3.341941 0.815567 2.104669 -0.506444 0.534489 0.607802 0.713628 0.179138 0.090212 71.087456 141.022110 260.323883 189.236420 51.906567 1.268064 0.772390 0.632768 0.676812 0.133865 0.368243 1.289083 0.766145 0.652047 0.049708 0.002842 0.000000 0.014749 78.293243 -0.000025 12.090515 1.000000 0.000000
1.000000 0.086556 0.042604 0.068182 0.240764 0.263259 0.224799 0.157899 0.125943 0.203842 0.235948 0.304821 1.350765 3.276325 1.808937 0.506639 0.984842 -0.538292 0.106856 0.284487 0.598602 0.500014 0.194990 44.226898 101.829964 178.502502 134.275604 44.903397 2.786266 0.524886 0.501651 3.068536 0.285216 0.183619 1.659120 0.484806 0.482221 0.052166 -0.002095 0.000000 -0.009213 15.778090 0.001581 11.895029 0.000000 0.000000
1.000000 0.034400 0.030917 0.072627 0.405264 0.431291 0.191857 0.085382 0.134317 0.344849 0.405161 0.705802 2.923615 7.807293 3.750285 0.852262 2.435593 -0.450804 0.582325 0.705807 0.800148 0.217822 0.086687 71.087456 141.022110 260.323883 189.236420 51.906567 1.176481 0.603341 0.507054 0.607784 0.191753 0.164539 0.879576 0.587233 0.482940 0.056051 0.000918 0.000000 0.042169 99.849426 0.000258 8.811974 0.500000 0.000000
1.000000 0.128225 0.053742 0.085063 0.218166 0.233497 0.299247 0.259295 0.155492 0.192459 0.211877 0.169257 1.688945 4.238724 2.050726 0.298311 0.494370 -0.557320 0.112303 0.158954 0.542811 0.431380 0.195574 44.226898 101.829964 178.502502 134.275604 44.903397 3.354819 0.901650 0.650476 2.567471 0.339559 0.244731 2.862839 0.990325 0.621359 0.057560 0.002227 0.000000 -0.020843 21.154133 -0.000324 8.994597 0.000000 0.000000
1.000000 0.066846 0.044485 0.076822 0.273149 0.298620 0.203555 0.113626 0.112820 0.233673 0.276751 0.413246 1.926136 5.029577 2.472478 0.626890 1.377124 -0.457745 0.238977 0.416319 0.543565 0.304588 0.172315 46.292110 136.264618 223.232666 176.940552 58.512928 2.294949 0.839946 0.637619 1.637102 0.276649 0.188363 1.857581 0.748973 0.725445 0.068985 0.003689 0.000000 -0.024303 70.706787 0.000674 1.666667 4.000000 0.000000
1.000000 0.075916 0.045676 0.077669 0.244040 0.251429 0.237282 0.148036 0.124087 0.204436 0.230861 0.321607 2.143730 5.098914 2.550416 0.536017 1.045573 -0.506782 0.219615 0.320908 0.450320 0.230706 0.094340 46.292110 136.264618 223.232666 176.940552 58.512928 1.538760 0.781382 0.676284 1.105594 0.459926 0.274615 1.213028 0.665573 0.672343 0.041300 -0.000865 0.000000 -0.021581 37.146248 0.000121 7.399734 1.500000 0.000000
1.000000 0.043011 0.036671 0.083986 0.469636 0.481408 0.205140 0.091522 0.143437 0.375652 0.448057 0.749658 2.008865 7.170659 2.865615 0.835944 2.594264 -0.414658 0.554065 0.745155 0.862194 0.310005 0.143789 43.184105 128.672745 351.261688 308.077576 96.070915 1.282227 0.960607 1.034862 0.641750 0.633019 0.452640 1.074915 0.791328 1.190765 0.076857 0.003234 0.000000 0.002603 98.477600 -0.000165 26.036812 0.000000 0.000000
